trader_id,client_type,user_type,client_tenure_months,trade_freq,last90days_trade_freq,buy_trade_freq,sell_trade_freq,trade_recency_months,trade_tenure_months,trade_value,available_balance,cash_advance_balance,deposit_freq,last90days_deposit_freq,deposit_recency_months,deposit_tenure_months,deposit_amount,withdrawal_freq,last90days_withdrawal_freq,withdrawal_recency_months,withdrawal_tenure_months,withdrawal_amount,loan_freq,loan_recency_months,loan_tenure_months,loan_value_collected
5245785827,Advocate,Business,37,,,,26,7,,,,,,,50,36,84096.87,,,32,3,,2,28,,
9545897667,Advocate,Business,20,,,,34,,,6554888.92,,,1,,14,5,9689551.89,,8,44,,,,45,,
9841123514,Intermediary,Business,22,,0,,,20,,,15020.88,39608.43,,,20,45,3482111.33,6,,,7,,,28,18,905938.48
9679218417,Trader,Personal,4,,19,47,,45,,753507.16,40442.18,,7,,12,,8243428.86,7,1,16,47,,2,,,
5143253034,Advocate,Personal,9,,,40,,,36,1193209.09,,,0,,,,9894166.01,,,,,,,,,
6975658189,Trader,Personal,47,,2,29,,2,,3467397.71,,,,5,,,,,,,,,,45,,464193.81
9800897495,Trader,Business,35,,,,29,13,46,,85280.4,,10,6,37,,6572827.63,,,40,46,,,39,,
4178218841,Trader,Business,44,,1,,39,13,28,8073304.09,93749.74,37492.61,0,,,38,,,8,29,,,,,32,9705022.74
3930305502,Trader,Personal,32,,,,46,20,,,83864.16,,,10,24,24,6030023.46,0,,,23,2066180.1,,,,7459506.38
6826218102,Trader,Personal,6,,,,13,20,34,2665289.86,41333.23,,,,,,7767431.76,7,,,5,,,,,
2440918126,Trader,Personal,44,,,,50,,,3324832.48,,,7,4,47,40,6533750.02,3,,,,2711708.35,3,,21,
3327581195,Trader,Business,45,41,,,27,,20,1785021.11,,,,,5,,6938451.04,,,39,,1461362.82,,41,32,
6854817717,Advocate,Business,41,47,,48,,2,9,9281778.96,6110.22,,,,4,,,,,,,,9,,,
5909408953,Trader,Business,28,19,17,10,38,,19,,94750.63,,,2,,3,6117474.88,7,8,,,9756713.97,8,,,
5663910235,Intermediary,Personal,43,78,2,,28,,,2170584.15,,,,5,,,4660702.52,,,17,,1757341.67,,,13,7944038.33
7371226886,Trader,Business,5,,2,,,14,,,,,,7,50,,6572766.77,3,,,,,,,,
7444165832,Intermediary,Personal,0,,,,48,,,2644384.65,,,,,20,,,,,23,,,10,3,15,
4419618195,Trader,Personal,20,,,,,,,2162475.1,91152.53,,,3,,15,,7,10,39,48,,,,0,
4747880852,Trader,Business,43,,9,16,,,15,,,40357.27,,,,,,,5,,,7907267.67,,,24,
8160387550,Advocate,Business,4,,10,,18,10,,,,,,,4,,2127094.09,3,,,,8513572.14,,,49,6762657.97
1786700912,Intermediary,Personal,29,,2,,,,32,,,,2,10,14,,,,,,,8030727.2,,,25,
8902300636,Trader,Personal,11,,,,,,21,,,,9,,29,,,10,,,,,7,,47,
9915200509,Intermediary,Business,42,,20,,37,,10,9558053.89,14067.81,65832.72,,,,,3211571.35,,,,49,,,,,8152996.81
1790907432,Trader,Business,3,90,,,14,8,30,,,,,,,,,,,,,9124374.7,,10,,6281423.47
4698923772,Trader,Personal,10,,,,,,,,,,9,,,12,,2,6,,,,,,,9326234.82
4872000736,Advocate,Business,26,,,43,,29,41,,12344.47,,,,19,,,,,,,,,23,,7006367.38
5088900350,Advocate,Personal,33,22,,,,,46,,,,,,,3,,,,,22,3103618.79,1,,,
8276629919,Intermediary,Personal,24,,,,39,,,,,,,,,,,6,8,,,,,,,2326260.03
5520756737,Trader,Business,35,,,,,,,,18747.25,,,0,,,,,4,,,,,40,,9450940.76
1176443034,Intermediary,Personal,11,,,,,,,4336794.93,27690.73,76446.97,5,,31,45,1138890.43,2,,49,,,10,,,
